,X1,X2,corr,highest_corr,highest_k
378,8,30,,,['k =0']
379,8,31,,,['k =0']
380,8,32,,,['k =0']
381,8,33,,,['k =0']
382,8,34,,,['k =0']
383,8,35,,,['k =0']
384,8,36,,,['k =0']
385,8,37,,,['k =0']
386,8,38,,,['k =0']
387,8,39,,,['k =0']
388,8,40,,,['k =0']
389,8,41,,,['k =0']
390,8,42,,,['k =0']
391,8,43,,,['k =0']
392,8,44,,,['k =0']
393,8,45,,,['k =0']
394,8,46,,,['k =0']
395,8,47,,,['k =0']
396,8,48,,,['k =0']
397,8,49,,,['k =0']
398,8,50,,,['k =0']
399,8,51,,,['k =0']
400,8,52,,,['k =0']
401,8,53,,,['k =0']
402,8,54,,,['k =0']
403,8,55,,,['k =0']
404,9,10,,,['k =0']
405,9,11,,,['k =0']
406,9,12,,,['k =0']
407,9,13,,,['k =0']
408,9,14,,,['k =0']
409,9,15,,,['k =0']
410,9,16,,,['k =0']
411,9,17,,,['k =0']
412,9,18,,,['k =0']
413,9,19,,,['k =0']
414,9,20,,,['k =0']
415,9,21,,,['k =0']
416,9,22,,,['k =0']
417,9,23,,,['k =0']
418,9,24,,,['k =0']
419,9,25,,,['k =0']
420,9,26,,,['k =0']
421,9,27,,,['k =0']
422,9,28,,,['k =0']
423,9,29,,,['k =0']
424,9,30,,,['k =0']
425,9,31,,,['k =0']
426,9,32,,,['k =0']
427,9,33,,,['k =0']
428,9,34,,,['k =0']
429,9,35,,,['k =0']
430,9,36,,,['k =0']
431,9,37,,,['k =0']
432,9,38,,,['k =0']
433,9,39,,,['k =0']
434,9,40,,,['k =0']
435,9,41,,,['k =0']
436,9,42,,,['k =0']
437,9,43,,,['k =0']
438,9,44,,,['k =0']
439,9,45,,,['k =0']
440,9,46,,,['k =0']
441,9,47,,,['k =0']
442,9,48,,,['k =0']
443,9,49,,,['k =0']
444,9,50,,,['k =0']
445,9,51,,,['k =0']
446,9,52,,,['k =0']
447,9,53,,,['k =0']
448,9,54,,,['k =0']
449,9,55,,,['k =0']
450,10,11,,,['k =0']
451,10,12,,,['k =0']
452,10,13,,,['k =0']
453,10,14,,,['k =0']
454,10,15,,,['k =0']
455,10,16,,,['k =0']
456,10,17,,,['k =0']
457,10,18,,,['k =0']
458,10,19,,,['k =0']
459,10,20,,,['k =0']
460,10,21,,,['k =0']
461,10,22,,,['k =0']
462,10,23,,,['k =0']
463,10,24,,,['k =0']
464,10,25,,,['k =0']
465,10,26,,,['k =0']
466,10,27,,,['k =0']
467,10,28,,,['k =0']
468,10,29,,,['k =0']
469,10,30,,,['k =0']
470,10,31,,,['k =0']
471,10,32,,,['k =0']
472,10,33,,,['k =0']
473,10,34,,,['k =0']
474,10,35,,,['k =0']
475,10,36,,,['k =0']
476,10,37,,,['k =0']
477,10,38,,,['k =0']
478,10,39,,,['k =0']
479,10,40,,,['k =0']
480,10,41,,,['k =0']
481,10,42,,,['k =0']
482,10,43,,,['k =0']
483,10,44,,,['k =0']
484,10,45,,,['k =0']
485,10,46,,,['k =0']
486,10,47,,,['k =0']
487,10,48,,,['k =0']
488,10,49,,,['k =0']
489,10,50,,,['k =0']
490,10,51,,,['k =0']
491,10,52,,,['k =0']
492,10,53,,,['k =0']
493,10,54,,,['k =0']
494,10,55,,,['k =0']
495,11,12,,,['k =0']
496,11,13,,,['k =0']
497,11,14,,,['k =0']
498,11,15,,,['k =0']
499,11,16,,,['k =0']
500,11,17,,,['k =0']
501,11,18,,,['k =0']
502,11,19,,,['k =0']
503,11,20,,,['k =0']
504,11,21,,,['k =0']
505,11,22,,,['k =0']
506,11,23,,,['k =0']
507,11,24,,,['k =0']
508,11,25,,,['k =0']
509,11,26,,,['k =0']
510,11,27,,,['k =0']
511,11,28,,,['k =0']
512,11,29,,,['k =0']
513,11,30,,,['k =0']
514,11,31,,,['k =0']
515,11,32,,,['k =0']
516,11,33,,,['k =0']
517,11,34,,,['k =0']
518,11,35,,,['k =0']
519,11,36,,,['k =0']
520,11,37,,,['k =0']
521,11,38,,,['k =0']
522,11,39,,,['k =0']
